geocell_id,country,num_points,centroid_lat,centroid_lon
0,Afghanistan,1,36.821611089307225,70.98324531163152
1,Afghanistan,1,36.95912290409542,68.25857621997537
2,Afghanistan,1,34.272660042780075,61.31405050573869
3,Afghanistan,1,34.66889795156837,70.45726672122828
4,Afghanistan,3,31.374668725569705,66.05069957790266
5,Afghanistan,4,34.057763877221035,67.50163986320055
6,Albania,82,41.589451084450175,20.183022644722143
7,Albania,70,42.17415182857143,20.304977828571428
8,Albania,54,41.78641831481482,19.795783703703705
9,Albania,58,40.76811238899409,19.88080446590516
10,Albania,120,40.63259789166667,20.708239591666665
11,Albania,108,41.04038769444445,20.098914592592592
12,Albania,86,40.21730244186046,20.168938639534883
13,Albania,92,40.120083880434784,19.806527239130435
14,Albania,123,42.13368800813008,19.68784475609756
15,Albania,72,40.77147489223591,19.5946670002853
16,Albania,100,41.30233920357264,19.765697658529376
17,Albania,38,41.40546318421053,19.60296286842105
18,Algeria,8,37.457221845210064,7.023252330088614
19,Algeria,8,35.33535956398035,6.779683954733464
20,Algeria,6,35.64145336160868,-0.915061348217582
21,Algeria,9,37.15622216159161,2.3458079150103024
22,American Samoa,55,-14.33190150909091,-170.80261201818183
23,American Samoa,53,-14.315179735849055,-170.82719764150943
24,American Samoa,40,-14.2988044,-170.68534035
25,American Samoa,20,-14.3104447,-170.7065926
26,American Samoa,38,-14.26647844736842,-170.5687908157895
27,American Samoa,28,-14.249872892857145,-170.57369710714286
28,American Samoa,59,-14.227213779661016,-169.51376455932203
29,American Samoa,35,-14.2185572,-169.4918210857143
30,American Samoa,27,-14.214591407407408,-169.4640337037037
31,American Samoa,18,-14.213941166666666,-169.4413558888889
32,American Samoa,20,-14.21746705,-169.42553845
33,American Samoa,41,-14.172104439024393,-169.6289165121951
34,American Samoa,21,-14.302635952380951,-170.81224104761904
35,American Samoa,28,-14.176180714285715,-169.65228060714284
36,American Samoa,31,-14.175796322580643,-169.67574503225808
37,American Samoa,36,-14.34807875,-170.76215677777776
38,American Samoa,135,-14.329017,-170.73209446666667
39,American Samoa,62,-14.27506172580645,-170.69313611290323
40,American Samoa,22,-14.285111045454546,-170.71466295454545
41,American Samoa,113,-14.263587610619467,-170.6627440176991
42,American Samoa,58,-14.284747827586203,-170.6458202586207
43,American Samoa,60,-14.27505305,-170.60474183333332
44,Andorra,100,42.60926304,1.52069235
45,Andorra,57,42.58086566666667,1.6697895789473685
46,Andorra,52,42.543435384615385,1.470934653846154
47,Andorra,150,42.46053990666667,1.4896693133333334
48,Andorra,129,42.51496537209302,1.549142937984496
49,Andorra,60,42.51327605,1.5210222166666665
50,Andorra,65,42.58652730769231,1.6378641846153847
51,Andorra,54,42.569099888888886,1.5962783703703705
52,Andorra,63,42.53498576190477,1.5971431111111112
53,Andorra,66,42.557680000000005,1.5868339545454546
54,Andorra,16,42.563331625,1.681867625
55,Andorra,23,42.54190686956522,1.703405304347826
56,Andorra,101,42.549377972814376,1.5283959463888344
57,Andorra,34,42.56735338235294,1.4780997352941176
58,Angola,7,-8.276759441138072,9.875599779366569
59,Angola,31,-12.637854669564328,16.36079546652392
60,Antarctica,1,-54.68848199618068,137.30631432603883
61,Argentina,78,-31.93154415811676,-59.16675937691789
62,Argentina,80,-24.316570355765386,-64.78171823589477
63,Argentina,112,-34.24246715274999,-68.64371508622371
64,Argentina,90,-38.6429235719252,-69.95319988901946
65,Argentina,72,-43.23272506261435,-66.04969004833923
66,Argentina,92,-44.54717522182146,-69.1578314718807
67,Argentina,139,-40.35274573855224,-67.03180833111419
68,Argentina,91,-48.90991996824256,-70.07647722357271
69,Argentina,34,-54.09214490922419,-67.83007062615232
70,Argentina,122,-38.17292732291323,-59.67387191936221
71,Argentina,132,-35.046628807992604,-60.00447791911713
72,Argentina,91,-31.018500565373824,-60.93757719386092
73,Argentina,46,-23.359940143201456,-65.75331448993076
74,Argentina,33,-27.040666298105435,-65.31634933716141
75,Argentina,71,-27.71020683484454,-63.32546694705587
76,Argentina,85,-33.644618032539896,-65.95504932255996
77,Argentina,108,-37.20497115962052,-65.31238663772653
78,Argentina,137,-32.0758188385465,-63.80761746744511
79,Argentina,42,-25.103094745907704,-59.69120795009869
80,Argentina,43,-26.87727983705805,-54.72264261888629
81,Argentina,66,-26.54424240281791,-60.69122823178669
82,Argentina,62,-28.79921953777653,-57.82716482675124
83,Argentina,63,-27.877567892347304,-66.42041023914926
84,Argentina,66,-29.755226517013195,-67.15061982648898
85,Argentina,62,-30.94126475964436,-68.56625666040064
86,Armenia,8,40.102320799648425,45.1260060511102
87,Ashmore and Cartier Is.,1,-12.61249133094367,123.37313547806764
88,Australia,127,-30.592657624716757,116.11547125617736
89,Australia,81,-34.45531617834383,116.46452521282856
90,Australia,87,-28.95751298985378,135.00352207127972
91,Australia,101,-32.6019606380924,136.33424874652283
92,Australia,115,-34.93604942521522,139.58140184862302
93,Australia,40,-35.975655377083385,137.0234611783373
94,Australia,137,-17.624509639122422,145.0501606565534
95,Australia,147,-25.968300964799933,150.9048010908541
96,Australia,91,-21.538786202359763,140.56122809461544
97,Australia,117,-24.809317698523135,145.1577156445062
98,Australia,90,-35.37281421922637,148.0702692046062
99,Australia,202,-31.837800364407094,146.30477337057977
100,Australia,62,-29.3779582807178,121.09227739937818
101,Australia,117,-31.657856217429263,152.6879724848203
102,Australia,141,-37.15499647472576,142.25941140381263
103,Australia,158,-37.15450401518779,145.79450029661928
104,Australia,148,-42.03610108065008,146.26945746614197
105,Australia,24,-41.66633046288008,151.61349288509714
